user,tweet,sex,age,ext,sta,agr,con,opn
user711,@ does heroes of the storm count,0,1,0.2,0.2,0.1,0.1,0.5
user711,#e3 following some game people one bajillion tweets per second,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ bringing new meaning to the term board member,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ @ because wool things are more volumetric and flatspiky things like leavesteeth and road look better as felt,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ cause youre uninformed sudan uganda cambodia genocides yang xinhai ramadan mansour luis garavito mass murderers,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ doesnt matter much plenty of them support it current alpha males didnt start patriarchy either,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ @ @ its not about the money its about promising 1 video a month and only delivering 4 vids in 2 years,0,1,0.2,0.2,0.1,0.1,0.5
user711,no pc advisor inkjet printers do not fall under the category of color laser printers ~,0,1,0.2,0.2,0.1,0.1,0.5
user711,and no @ anything that has a sticker saying xerox is not an hp officejet nor is the 8100 a laser printer ~,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ im really saddened that you have macro photos of tablet screens test photos on phones but no sample scans for printers,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ he has a tiny point but misses the parts where reviews drive purchases and where letsplays are transformative in nature,0,1,0.2,0.2,0.1,0.1,0.5
user711,i really quite like it that red bull will just up and fund stuff like danny macaskills imaginate ~ via @,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ @ availability of oldobscurequirkybad games is not a bad thing the prominence and promotion of those games is,0,1,0.2,0.2,0.1,0.1,0.5
user711,it sucks when your phone suddenly wont read a simcard any more it sucks even more when your pc breaks while looking for a solution ,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ hurray for dutch sportsball huh,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ i was on @ and noticed all the 3d models work just fine on my nexus 7 thumbs up for crossplatform functionality,0,1,0.2,0.2,0.1,0.1,0.5
user711,the current @ bundle is worth it just for @ s fantastic pineapple smash crew,0,1,0.2,0.2,0.1,0.1,0.5
user711,today fear soaked fabric as over 50 victims suffered a gruesome fate my wardrobe shrunk from 100cm to only 57cm 13,0,1,0.2,0.2,0.1,0.1,0.5
user711,among the casualties are 6 tops 18 tees 10 longsleeves 8 dress shirts 5 pants 6 shorts and a suit 23,0,1,0.2,0.2,0.1,0.1,0.5
user711,just saw fireworks in the #netherlands wondering if its for #fifaworldcup #bravscol or some us expats celebrating #independenceday,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ man what a waste of a tweet talking about responses you dont like you could have spent it on making a wtf is video ,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ but today is not that day ~,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ because its spelled gotze and oe is the internationally accepted spelling when you dont have access to diacritics,0,1,0.2,0.2,0.1,0.1,0.5
user711,@ is this in response to the recent gamasutra article ftc quote,0,1,0.2,0.2,0.1,0.1,0.5
user711,bought a new pc with windows 81 hoping it wouldnt be so bad now with the updates after a day im on the verge of a mental breakdown ,0,1,0.2,0.2,0.1,0.1,0.5
user711,seriously who had the idea to replace the standard calculator by a full screen app i dont need 1920x1200 to multiply some numbers,0,1,0.2,0.2,0.1,0.1,0.5
